datetime,CT,cash,commission,total,returns,equity_curve,drawdown
1986-01-09,6253.0,98931.89999999986,61.099999999999945,105184.89999999986,-0.00011407180249611848,1.0518489999999965,0.02824200000000099
1986-01-10,6263.0,98931.89999999986,61.099999999999945,105194.89999999986,9.507068029734889e-05,1.0519489999999965,0.028142000000001
1986-01-13,6217.0,98931.89999999986,61.099999999999945,105148.89999999986,-0.0004372835565221722,1.0514889999999966,0.028602000000000904
1986-01-14,6180.0,98931.89999999986,61.099999999999945,105111.89999999986,-0.00035188195026292224,1.0511189999999966,0.028972000000000886
1986-01-15,6205.0,98931.89999999986,61.099999999999945,105136.89999999986,0.00023784176672658752,1.0513689999999964,0.028722000000001024
1986-01-16,6252.0,98931.89999999986,61.099999999999945,105183.89999999986,0.0004470361975672521,1.0518389999999966,0.028252000000000832
1986-01-17,6245.0,98931.89999999986,61.099999999999945,105176.89999999986,-6.65501089045506e-05,1.0517689999999966,0.028322000000000846
1986-01-20,6240.0,98931.89999999986,61.099999999999945,105171.89999999986,-4.7538955797343796e-05,1.0517189999999965,0.028372000000000952
1986-01-21,6250.0,98931.89999999986,61.099999999999945,105181.89999999986,9.508243171407749e-05,1.0518189999999965,0.028272000000000963
1986-01-22,6355.0,98931.89999999986,61.099999999999945,105286.89999999986,0.000998270615001351,1.0528689999999965,0.027222000000000968
1986-01-23,6321.0,98931.89999999986,61.099999999999945,105252.89999999986,-0.0003229271637782416,1.0525289999999965,0.027562000000000975
1986-01-24,6210.0,98931.89999999986,61.099999999999945,105141.89999999986,-0.0010546027710400807,1.0514189999999966,0.02867200000000092
1986-01-27,6097.0,98931.89999999986,61.099999999999945,105028.89999999986,-0.0010747380444903198,1.0502889999999967,0.029802000000000772
1986-01-28,5987.0,98931.89999999986,61.099999999999945,104918.89999999986,-0.0010473307822894684,1.0491889999999966,0.030902000000000873
1986-01-29,6019.0,98931.89999999986,61.099999999999945,104950.89999999986,0.0003049974790052534,1.0495089999999967,0.030582000000000775
1986-01-30,5972.0,98931.89999999986,61.099999999999945,104903.89999999986,-0.00044782846073732063,1.0490389999999967,0.031052000000000746
1986-01-31,6032.0,98931.89999999986,61.099999999999945,104963.89999999986,0.0005719520437277303,1.0496389999999969,0.03045200000000059
1986-02-03,6052.0,98931.89999999986,61.099999999999945,104983.89999999986,0.0001905417005274579,1.0498389999999969,0.03025200000000061
1986-02-04,5970.0,98931.89999999986,61.099999999999945,104901.89999999986,-0.0007810721453479497,1.0490189999999968,0.031072000000000655
1986-02-05,5970.0,98931.89999999986,61.099999999999945,104901.89999999986,0.0,1.0490189999999968,0.031072000000000655
1986-02-06,6022.0,98931.89999999986,61.099999999999945,104953.89999999986,0.000495701221808087,1.0495389999999967,0.0305520000000008
1986-02-07,6027.0,98931.89999999986,61.099999999999945,104958.89999999986,4.7639963831835885e-05,1.0495889999999968,0.030502000000000695
1986-02-10,6058.0,98931.89999999986,61.099999999999945,104989.89999999986,0.0002953537051169075,1.0498989999999968,0.030192000000000663
